;case;activity;time;start_timestamp
894;220;b_1;05/01/2015 03.26.02;05/01/2015 03.26.02
895;220;d_1;05/01/2015 03.26.05;05/01/2015 03.26.05
896;220;e_1;05/01/2015 03.26.53;05/01/2015 03.26.53
897;220;g_1;05/01/2015 03.27.32;05/01/2015 03.27.32
898;221;b_1;05/01/2015 03.26.59;05/01/2015 03.26.59
899;221;e_1;05/01/2015 03.27.04;05/01/2015 03.27.04
900;221;d_1;05/01/2015 03.28.26;05/01/2015 03.28.26
901;221;g_1;05/01/2015 03.30.37;05/01/2015 03.30.37
902;222;a_1;05/01/2015 03.27.34;05/01/2015 03.27.34
903;222;d_1;05/01/2015 03.27.45;05/01/2015 03.27.45
904;222;c_1;05/01/2015 03.28.43;05/01/2015 03.28.43
905;222;f_1;05/01/2015 03.29.43;05/01/2015 03.29.43
906;223;a_1;05/01/2015 03.29.34;05/01/2015 03.29.34
907;223;c_1;05/01/2015 03.30.12;05/01/2015 03.30.12
908;223;d_1;05/01/2015 03.30.28;05/01/2015 03.30.28
909;223;f_1;05/01/2015 03.31.32;05/01/2015 03.31.32
910;224;b_1;05/01/2015 03.28.11;05/01/2015 03.28.11
911;224;e_1;05/01/2015 03.28.50;05/01/2015 03.28.50
912;224;d_1;05/01/2015 03.33.15;05/01/2015 03.33.15
913;224;x_1;05/01/2015 03.36.11;05/01/2015 03.36.11
914;224;g_1;05/01/2015 03.36.12;05/01/2015 03.36.12
915;225;a_1;05/01/2015 03.29.40;05/01/2015 03.29.40
916;225;d_1;05/01/2015 03.30.00;05/01/2015 03.30.00
917;225;c_1;05/01/2015 03.30.40;05/01/2015 03.30.40
918;225;f_1;05/01/2015 03.31.06;05/01/2015 03.31.06
919;226;b_1;05/01/2015 03.30.17;05/01/2015 03.30.17
920;226;d_1;05/01/2015 03.31.05;05/01/2015 03.31.05
921;226;e_1;05/01/2015 03.32.04;05/01/2015 03.32.04
922;226;g_1;05/01/2015 03.33.56;05/01/2015 03.33.56
923;227;b_1;05/01/2015 03.31.09;05/01/2015 03.31.09
924;227;e_1;05/01/2015 03.32.04;05/01/2015 03.32.04
925;227;d_1;05/01/2015 03.33.05;05/01/2015 03.33.05
926;227;g_1;05/01/2015 03.34.11;05/01/2015 03.34.11
927;228;a_1;05/01/2015 03.36.03;05/01/2015 03.36.03
928;228;d_1;05/01/2015 03.36.04;05/01/2015 03.36.04
929;228;c_1;05/01/2015 03.38.15;05/01/2015 03.38.15
930;228;f_1;05/01/2015 03.40.22;05/01/2015 03.40.22
931;229;b_1;05/01/2015 03.33.23;05/01/2015 03.33.23
932;229;e_1;05/01/2015 03.34.28;05/01/2015 03.34.28
933;229;d_1;05/01/2015 03.35.01;05/01/2015 03.35.01
934;229;g_1;05/01/2015 03.35.17;05/01/2015 03.35.17
935;230;a_1;05/01/2015 03.33.14;05/01/2015 03.33.14
936;230;c_1;05/01/2015 03.33.40;05/01/2015 03.33.40
937;230;d_1;05/01/2015 03.34.06;05/01/2015 03.34.06
938;230;f_1;05/01/2015 03.34.07;05/01/2015 03.34.07
939;231;b_1;05/01/2015 03.34.35;05/01/2015 03.34.35
940;231;d_1;05/01/2015 03.35.14;05/01/2015 03.35.14
941;231;e_1;05/01/2015 03.35.14;05/01/2015 03.35.14
942;231;g_1;05/01/2015 03.36.11;05/01/2015 03.36.11
943;232;b_1;05/01/2015 03.37.26;05/01/2015 03.37.26
944;232;e_1;05/01/2015 03.37.48;05/01/2015 03.37.48
945;232;d_1;05/01/2015 03.39.05;05/01/2015 03.39.05
946;232;g_1;05/01/2015 03.40.44;05/01/2015 03.40.44
947;233;a_1;05/01/2015 03.38.28;05/01/2015 03.38.28
948;233;d_1;05/01/2015 03.38.52;05/01/2015 03.38.52
949;233;c_1;05/01/2015 03.40.31;05/01/2015 03.40.31
950;233;f_1;05/01/2015 03.43.11;05/01/2015 03.43.11
951;234;a_1;05/01/2015 03.39.16;05/01/2015 03.39.16
952;234;c_1;05/01/2015 03.39.19;05/01/2015 03.39.19
953;234;d_1;05/01/2015 03.40.32;05/01/2015 03.40.32
954;234;f_1;05/01/2015 03.41.10;05/01/2015 03.41.10
955;235;a_1;05/01/2015 03.40.20;05/01/2015 03.40.20
956;235;d_1;05/01/2015 03.40.53;05/01/2015 03.40.53
957;235;c_1;05/01/2015 03.41.06;05/01/2015 03.41.06
958;235;f_1;05/01/2015 03.46.28;05/01/2015 03.46.28
959;236;a_1;05/01/2015 03.40.12;05/01/2015 03.40.12
960;236;c_1;05/01/2015 03.40.22;05/01/2015 03.40.22
961;236;d_1;05/01/2015 03.45.23;05/01/2015 03.45.23
962;236;f_1;05/01/2015 03.47.55;05/01/2015 03.47.55
963;237;b_1;05/01/2015 03.43.01;05/01/2015 03.43.01
964;237;d_1;05/01/2015 03.43.28;05/01/2015 03.43.28
965;237;e_1;05/01/2015 03.43.40;05/01/2015 03.43.40
966;237;g_1;05/01/2015 03.46.57;05/01/2015 03.46.57
967;238;a_1;05/01/2015 03.40.56;05/01/2015 03.40.56
968;238;d_1;05/01/2015 03.41.40;05/01/2015 03.41.40
969;238;c_1;05/01/2015 03.42.18;05/01/2015 03.42.18
970;238;f_1;05/01/2015 03.44.20;05/01/2015 03.44.20
971;239;a_1;05/01/2015 03.41.41;05/01/2015 03.41.41
972;239;c_1;05/01/2015 03.42.03;05/01/2015 03.42.03
973;239;d_1;05/01/2015 03.43.37;05/01/2015 03.43.37
974;239;f_1;05/01/2015 03.47.41;05/01/2015 03.47.41
975;240;b_1;05/01/2015 03.41.42;05/01/2015 03.41.42
976;240;d_1;05/01/2015 03.41.57;05/01/2015 03.41.57
977;240;e_1;05/01/2015 03.44.43;05/01/2015 03.44.43
978;240;g_1;05/01/2015 03.44.57;05/01/2015 03.44.57
979;241;b_1;05/01/2015 03.41.47;05/01/2015 03.41.47
980;241;e_1;05/01/2015 03.42.53;05/01/2015 03.42.53
981;241;d_1;05/01/2015 03.43.52;05/01/2015 03.43.52
982;241;g_1;05/01/2015 03.44.12;05/01/2015 03.44.12
983;242;b_1;05/01/2015 03.44.28;05/01/2015 03.44.28
984;242;d_1;05/01/2015 03.44.38;05/01/2015 03.44.38
985;242;e_1;05/01/2015 03.45.28;05/01/2015 03.45.28
986;242;g_1;05/01/2015 03.49.36;05/01/2015 03.49.36
987;243;a_1;05/01/2015 03.45.53;05/01/2015 03.45.53
988;243;c_1;05/01/2015 03.47.43;05/01/2015 03.47.43
989;243;d_1;05/01/2015 03.49.24;05/01/2015 03.49.24
990;243;f_1;05/01/2015 03.51.14;05/01/2015 03.51.14
991;244;b_1;05/01/2015 03.48.27;05/01/2015 03.48.27
992;244;e_1;05/01/2015 03.48.30;05/01/2015 03.48.30
993;244;d_1;05/01/2015 03.50.43;05/01/2015 03.50.43
994;244;g_1;05/01/2015 03.51.42;05/01/2015 03.51.42
995;245;b_1;05/01/2015 03.49.03;05/01/2015 03.49.03
996;245;d_1;05/01/2015 03.50.28;05/01/2015 03.50.28
997;245;e_1;05/01/2015 03.50.59;05/01/2015 03.50.59
998;245;g_1;05/01/2015 03.55.55;05/01/2015 03.55.55
999;246;a_1;05/01/2015 03.50.40;05/01/2015 03.50.40
1000;246;d_1;05/01/2015 03.51.04;05/01/2015 03.51.04
1001;246;c_1;05/01/2015 03.52.17;05/01/2015 03.52.17
1002;246;f_1;05/01/2015 03.53.07;05/01/2015 03.53.07
1003;247;b_1;05/01/2015 03.50.48;05/01/2015 03.50.48
1004;247;d_1;05/01/2015 03.51.22;05/01/2015 03.51.22
1005;247;e_1;05/01/2015 03.51.51;05/01/2015 03.51.51
1006;247;g_1;05/01/2015 03.52.20;05/01/2015 03.52.20
1007;248;b_1;05/01/2015 03.57.24;05/01/2015 03.57.24
1008;248;d_1;05/01/2015 03.59.42;05/01/2015 03.59.42
1009;248;e_1;05/01/2015 04.00.08;05/01/2015 04.00.08
1010;248;g_1;05/01/2015 04.04.07;05/01/2015 04.04.07
1011;249;a_1;05/01/2015 03.57.07;05/01/2015 03.57.07
1012;249;c_1;05/01/2015 03.57.30;05/01/2015 03.57.30
1013;249;d_1;05/01/2015 03.58.49;05/01/2015 03.58.49
1014;249;f_1;05/01/2015 04.01.03;05/01/2015 04.01.03
1015;250;b_1;05/01/2015 03.56.54;05/01/2015 03.56.54
1016;250;d_1;05/01/2015 03.56.56;05/01/2015 03.56.56
1017;250;e_1;05/01/2015 03.57.14;05/01/2015 03.57.14
1018;250;g_1;05/01/2015 03.57.27;05/01/2015 03.57.27
1019;251;a_1;05/01/2015 03.57.39;05/01/2015 03.57.39
1020;251;d_1;05/01/2015 03.57.46;05/01/2015 03.57.46
1021;251;c_1;05/01/2015 03.58.21;05/01/2015 03.58.21
1022;251;f_1;05/01/2015 03.59.45;05/01/2015 03.59.45
1023;252;a_1;05/01/2015 03.59.38;05/01/2015 03.59.38
1024;252;c_1;05/01/2015 04.00.25;05/01/2015 04.00.25
1025;252;d_1;05/01/2015 04.02.24;05/01/2015 04.02.24
1026;252;f_1;05/01/2015 04.02.57;05/01/2015 04.02.57
1027;253;a_1;05/01/2015 03.58.50;05/01/2015 03.58.50
1028;253;d_1;05/01/2015 03.59.37;05/01/2015 03.59.37
1029;253;x_1;05/01/2015 04.00.00;05/01/2015 04.00.00
1030;253;c_1;05/01/2015 04.00.00;05/01/2015 04.00.00
1031;253;f_1;05/01/2015 04.00.56;05/01/2015 04.00.56
1032;254;b_1;05/01/2015 04.01.24;05/01/2015 04.01.24
1033;254;d_1;05/01/2015 04.01.46;05/01/2015 04.01.46
1034;254;e_1;05/01/2015 04.04.16;05/01/2015 04.04.16
1035;254;g_1;05/01/2015 04.04.20;05/01/2015 04.04.20
1036;255;a_1;05/01/2015 04.02.28;05/01/2015 04.02.28
1037;255;d_1;05/01/2015 04.03.12;05/01/2015 04.03.12
1038;255;c_1;05/01/2015 04.03.44;05/01/2015 04.03.44
1039;255;f_1;05/01/2015 04.05.21;05/01/2015 04.05.21
1040;256;a_1;05/01/2015 04.02.58;05/01/2015 04.02.58
1041;256;d_1;05/01/2015 04.03.56;05/01/2015 04.03.56
1042;256;c_1;05/01/2015 04.05.07;05/01/2015 04.05.07
1043;256;f_1;05/01/2015 04.06.48;05/01/2015 04.06.48
1044;257;b_1;05/01/2015 04.03.28;05/01/2015 04.03.28
1045;257;e_1;05/01/2015 04.03.53;05/01/2015 04.03.53
1046;257;d_1;05/01/2015 04.04.58;05/01/2015 04.04.58
1047;257;g_1;05/01/2015 04.05.28;05/01/2015 04.05.28
1048;258;a_1;05/01/2015 04.03.06;05/01/2015 04.03.06
1049;258;c_1;05/01/2015 04.04.29;05/01/2015 04.04.29
1050;258;d_1;05/01/2015 04.06.02;05/01/2015 04.06.02
1051;258;f_1;05/01/2015 04.06.37;05/01/2015 04.06.37
1052;259;a_1;05/01/2015 04.05.52;05/01/2015 04.05.52
1053;259;c_1;05/01/2015 04.05.57;05/01/2015 04.05.57
1054;259;d_1;05/01/2015 04.07.16;05/01/2015 04.07.16
1055;259;f_1;05/01/2015 04.07.28;05/01/2015 04.07.28
1056;260;a_1;05/01/2015 04.06.44;05/01/2015 04.06.44
1057;260;c_1;05/01/2015 04.06.48;05/01/2015 04.06.48
1058;260;d_1;05/01/2015 04.08.59;05/01/2015 04.08.59
1059;260;f_1;05/01/2015 04.09.12;05/01/2015 04.09.12
1060;261;b_1;05/01/2015 04.08.51;05/01/2015 04.08.51
1061;261;e_1;05/01/2015 04.09.22;05/01/2015 04.09.22
1062;261;d_1;05/01/2015 04.10.07;05/01/2015 04.10.07
1063;261;g_1;05/01/2015 04.10.32;05/01/2015 04.10.32
1064;262;a_1;05/01/2015 04.13.00;05/01/2015 04.13.00
1065;262;c_1;05/01/2015 04.15.09;05/01/2015 04.15.09
1066;262;d_1;05/01/2015 04.17.29;05/01/2015 04.17.29
1067;262;f_1;05/01/2015 04.17.34;05/01/2015 04.17.34
1068;263;b_1;05/01/2015 04.10.54;05/01/2015 04.10.54
1069;263;d_1;05/01/2015 04.11.00;05/01/2015 04.11.00
1070;263;e_1;05/01/2015 04.13.51;05/01/2015 04.13.51
1071;263;g_1;05/01/2015 04.15.17;05/01/2015 04.15.17
1072;264;b_1;05/01/2015 04.13.31;05/01/2015 04.13.31
1073;264;e_1;05/01/2015 04.14.10;05/01/2015 04.14.10
1074;264;d_1;05/01/2015 04.16.14;05/01/2015 04.16.14
1075;264;g_1;05/01/2015 04.16.35;05/01/2015 04.16.35
1076;265;b_1;05/01/2015 04.15.46;05/01/2015 04.15.46
1077;265;e_1;05/01/2015 04.15.56;05/01/2015 04.15.56
1078;265;d_1;05/01/2015 04.18.36;05/01/2015 04.18.36
1079;265;g_1;05/01/2015 04.19.04;05/01/2015 04.19.04
1080;266;a_1;05/01/2015 04.17.37;05/01/2015 04.17.37
1081;266;d_1;05/01/2015 04.17.38;05/01/2015 04.17.38
1082;266;c_1;05/01/2015 04.18.01;05/01/2015 04.18.01
1083;266;f_1;05/01/2015 04.18.51;05/01/2015 04.18.51
1084;267;b_1;05/01/2015 04.18.22;05/01/2015 04.18.22
1085;267;d_1;05/01/2015 04.18.48;05/01/2015 04.18.48
1086;267;e_1;05/01/2015 04.19.05;05/01/2015 04.19.05
1087;267;g_1;05/01/2015 04.21.39;05/01/2015 04.21.39
1088;268;b_1;05/01/2015 04.17.25;05/01/2015 04.17.25
1089;268;d_1;05/01/2015 04.17.33;05/01/2015 04.17.33
1090;268;e_1;05/01/2015 04.18.01;05/01/2015 04.18.01
1091;268;g_1;05/01/2015 04.18.54;05/01/2015 04.18.54
1092;269;a_1;05/01/2015 04.18.13;05/01/2015 04.18.13
1093;269;d_1;05/01/2015 04.18.31;05/01/2015 04.18.31
1094;269;c_1;05/01/2015 04.20.01;05/01/2015 04.20.01
1095;269;f_1;05/01/2015 04.22.46;05/01/2015 04.22.46
1096;270;a_1;05/01/2015 04.17.44;05/01/2015 04.17.44
1097;270;c_1;05/01/2015 04.18.15;05/01/2015 04.18.15
1098;270;d_1;05/01/2015 04.19.06;05/01/2015 04.19.06
1099;270;f_1;05/01/2015 04.19.26;05/01/2015 04.19.26
1100;271;b_1;05/01/2015 04.22.03;05/01/2015 04.22.03
1101;271;e_1;05/01/2015 04.22.13;05/01/2015 04.22.13
1102;271;x_1;05/01/2015 04.24.00;05/01/2015 04.24.00
1103;271;d_1;05/01/2015 04.24.06;05/01/2015 04.24.06
1104;271;g_1;05/01/2015 04.26.34;05/01/2015 04.26.34
1105;272;a_1;05/01/2015 04.20.28;05/01/2015 04.20.28
1106;272;d_1;05/01/2015 04.20.34;05/01/2015 04.20.34
1107;272;c_1;05/01/2015 04.21.01;05/01/2015 04.21.01
1108;272;f_1;05/01/2015 04.21.01;05/01/2015 04.21.01
1109;273;a_1;05/01/2015 04.19.39;05/01/2015 04.19.39
1110;273;d_1;05/01/2015 04.19.42;05/01/2015 04.19.42
1111;273;c_1;05/01/2015 04.19.52;05/01/2015 04.19.52
1112;273;f_1;05/01/2015 04.20.21;05/01/2015 04.20.21
1113;274;b_1;05/01/2015 04.20.39;05/01/2015 04.20.39
1114;274;e_1;05/01/2015 04.21.32;05/01/2015 04.21.32
1115;274;d_1;05/01/2015 04.21.54;05/01/2015 04.21.54
1116;274;g_1;05/01/2015 04.22.44;05/01/2015 04.22.44
1117;275;a_1;05/01/2015 04.21.56;05/01/2015 04.21.56
1118;275;c_1;05/01/2015 04.22.06;05/01/2015 04.22.06
1119;275;d_1;05/01/2015 04.23.51;05/01/2015 04.23.51
1120;275;f_1;05/01/2015 04.24.50;05/01/2015 04.24.50
1121;276;a_1;05/01/2015 04.20.59;05/01/2015 04.20.59
1122;276;d_1;05/01/2015 04.21.39;05/01/2015 04.21.39
1123;276;x_1;05/01/2015 04.26.30;05/01/2015 04.26.30
1124;276;c_1;05/01/2015 04.26.30;05/01/2015 04.26.30
1125;276;f_1;05/01/2015 04.26.41;05/01/2015 04.26.41
1126;277;b_1;05/01/2015 04.22.59;05/01/2015 04.22.59
1127;277;d_1;05/01/2015 04.23.37;05/01/2015 04.23.37
1128;277;e_1;05/01/2015 04.23.58;05/01/2015 04.23.58
1129;277;g_1;05/01/2015 04.26.03;05/01/2015 04.26.03
1130;278;b_1;05/01/2015 04.22.00;05/01/2015 04.22.00
1131;278;d_1;05/01/2015 04.22.10;05/01/2015 04.22.10
1132;278;e_1;05/01/2015 04.24.00;05/01/2015 04.24.00
1133;278;g_1;05/01/2015 04.24.18;05/01/2015 04.24.18
1134;279;b_1;05/01/2015 04.23.33;05/01/2015 04.23.33
1135;279;d_1;05/01/2015 04.24.54;05/01/2015 04.24.54
1136;279;e_1;05/01/2015 04.26.02;05/01/2015 04.26.02
1137;279;g_1;05/01/2015 04.27.31;05/01/2015 04.27.31
1138;280;b_1;05/01/2015 04.24.27;05/01/2015 04.24.27
1139;280;d_1;05/01/2015 04.25.23;05/01/2015 04.25.23
1140;280;e_1;05/01/2015 04.25.49;05/01/2015 04.25.49
1141;280;g_1;05/01/2015 04.26.39;05/01/2015 04.26.39
1142;281;b_1;05/01/2015 04.23.12;05/01/2015 04.23.12
1143;281;e_1;05/01/2015 04.23.41;05/01/2015 04.23.41
1144;281;d_1;05/01/2015 04.24.38;05/01/2015 04.24.38
1145;281;g_1;05/01/2015 04.26.49;05/01/2015 04.26.49
1146;282;b_1;05/01/2015 04.24.54;05/01/2015 04.24.54
1147;282;e_1;05/01/2015 04.25.44;05/01/2015 04.25.44
1148;282;d_1;05/01/2015 04.26.03;05/01/2015 04.26.03
1149;282;g_1;05/01/2015 04.28.12;05/01/2015 04.28.12
1150;283;a_1;05/01/2015 04.27.42;05/01/2015 04.27.42
1151;283;c_1;05/01/2015 04.28.02;05/01/2015 04.28.02
1152;283;d_1;05/01/2015 04.29.29;05/01/2015 04.29.29
1153;283;f_1;05/01/2015 04.30.16;05/01/2015 04.30.16
1154;284;b_1;05/01/2015 04.27.25;05/01/2015 04.27.25
1155;284;d_1;05/01/2015 04.27.33;05/01/2015 04.27.33
1156;284;e_1;05/01/2015 04.29.50;05/01/2015 04.29.50
1157;284;g_1;05/01/2015 04.29.51;05/01/2015 04.29.51
1158;285;b_1;05/01/2015 04.27.55;05/01/2015 04.27.55
1159;285;d_1;05/01/2015 04.28.13;05/01/2015 04.28.13
1160;285;e_1;05/01/2015 04.29.22;05/01/2015 04.29.22
1161;285;g_1;05/01/2015 04.30.20;05/01/2015 04.30.20
1162;286;a_1;05/01/2015 04.28.43;05/01/2015 04.28.43
1163;286;c_1;05/01/2015 04.29.08;05/01/2015 04.29.08
1164;286;d_1;05/01/2015 04.30.29;05/01/2015 04.30.29
1165;286;f_1;05/01/2015 04.31.51;05/01/2015 04.31.51
1166;287;b_1;05/01/2015 04.33.26;05/01/2015 04.33.26
1167;287;d_1;05/01/2015 04.33.26;05/01/2015 04.33.26
1168;287;e_1;05/01/2015 04.33.29;05/01/2015 04.33.29
1169;287;g_1;05/01/2015 04.34.17;05/01/2015 04.34.17
1170;288;a_1;05/01/2015 04.35.29;05/01/2015 04.35.29
1171;288;d_1;05/01/2015 04.36.10;05/01/2015 04.36.10
1172;288;c_1;05/01/2015 04.36.22;05/01/2015 04.36.22
1173;288;f_1;05/01/2015 04.37.00;05/01/2015 04.37.00
1174;289;a_1;05/01/2015 04.36.42;05/01/2015 04.36.42
1175;289;c_1;05/01/2015 04.36.52;05/01/2015 04.36.52
1176;289;d_1;05/01/2015 04.38.09;05/01/2015 04.38.09
1177;289;f_1;05/01/2015 04.40.19;05/01/2015 04.40.19
1178;290;a_1;05/01/2015 04.39.03;05/01/2015 04.39.03
1179;290;d_1;05/01/2015 04.39.13;05/01/2015 04.39.13
1180;290;c_1;05/01/2015 04.39.17;05/01/2015 04.39.17
1181;290;f_1;05/01/2015 04.40.08;05/01/2015 04.40.08
1182;291;b_1;05/01/2015 04.40.54;05/01/2015 04.40.54
1183;291;e_1;05/01/2015 04.42.14;05/01/2015 04.42.14
1184;291;d_1;05/01/2015 04.42.53;05/01/2015 04.42.53
1185;291;g_1;05/01/2015 04.43.11;05/01/2015 04.43.11
1186;292;a_1;05/01/2015 04.41.12;05/01/2015 04.41.12
1187;292;d_1;05/01/2015 04.42.21;05/01/2015 04.42.21
1188;292;c_1;05/01/2015 04.42.42;05/01/2015 04.42.42
1189;292;f_1;05/01/2015 04.43.23;05/01/2015 04.43.23
1190;293;a_1;05/01/2015 04.43.08;05/01/2015 04.43.08
1191;293;c_1;05/01/2015 04.43.34;05/01/2015 04.43.34
1192;293;d_1;05/01/2015 04.43.40;05/01/2015 04.43.40
1193;293;f_1;05/01/2015 04.45.33;05/01/2015 04.45.33
1194;294;b_1;05/01/2015 04.42.39;05/01/2015 04.42.39
1195;294;d_1;05/01/2015 04.42.53;05/01/2015 04.42.53
1196;294;e_1;05/01/2015 04.44.02;05/01/2015 04.44.02
1197;294;g_1;05/01/2015 04.45.02;05/01/2015 04.45.02
1198;295;a_1;05/01/2015 04.42.02;05/01/2015 04.42.02
1199;295;c_1;05/01/2015 04.42.17;05/01/2015 04.42.17
1200;295;d_1;05/01/2015 04.43.37;05/01/2015 04.43.37
1201;295;f_1;05/01/2015 04.43.55;05/01/2015 04.43.55
1202;296;a_1;05/01/2015 04.43.40;05/01/2015 04.43.40
1203;296;d_1;05/01/2015 04.43.51;05/01/2015 04.43.51
1204;296;c_1;05/01/2015 04.44.23;05/01/2015 04.44.23
1205;296;f_1;05/01/2015 04.46.19;05/01/2015 04.46.19
1206;297;a_1;05/01/2015 04.42.34;05/01/2015 04.42.34
1207;297;x_1;05/01/2015 04.42.47;05/01/2015 04.42.47
1208;297;c_1;05/01/2015 04.42.47;05/01/2015 04.42.47
1209;297;d_1;05/01/2015 04.43.16;05/01/2015 04.43.16
1210;297;f_1;05/01/2015 04.44.29;05/01/2015 04.44.29
1211;298;b_1;05/01/2015 04.43.35;05/01/2015 04.43.35
1212;298;e_1;05/01/2015 04.44.09;05/01/2015 04.44.09
1213;298;d_1;05/01/2015 04.44.36;05/01/2015 04.44.36
1214;298;g_1;05/01/2015 04.46.27;05/01/2015 04.46.27
1215;299;a_1;05/01/2015 04.44.15;05/01/2015 04.44.15
1216;299;d_1;05/01/2015 04.44.17;05/01/2015 04.44.17
1217;299;c_1;05/01/2015 04.44.30;05/01/2015 04.44.30
1218;299;f_1;05/01/2015 04.44.53;05/01/2015 04.44.53
1219;300;a_1;05/01/2015 04.44.26;05/01/2015 04.44.26
1220;300;d_1;05/01/2015 04.46.43;05/01/2015 04.46.43
1221;300;c_1;05/01/2015 04.50.52;05/01/2015 04.50.52
1222;300;f_1;05/01/2015 04.53.14;05/01/2015 04.53.14
1223;301;b_1;05/01/2015 04.44.34;05/01/2015 04.44.34
1224;301;e_1;05/01/2015 04.45.36;05/01/2015 04.45.36
1225;301;d_1;05/01/2015 04.48.03;05/01/2015 04.48.03
1226;301;g_1;05/01/2015 04.48.09;05/01/2015 04.48.09
1227;302;b_1;05/01/2015 04.48.46;05/01/2015 04.48.46
1228;302;e_1;05/01/2015 04.48.47;05/01/2015 04.48.47
1229;302;d_1;05/01/2015 04.48.57;05/01/2015 04.48.57
1230;302;g_1;05/01/2015 04.51.30;05/01/2015 04.51.30
1231;303;a_1;05/01/2015 04.47.20;05/01/2015 04.47.20
1232;303;c_1;05/01/2015 04.48.43;05/01/2015 04.48.43
1233;303;d_1;05/01/2015 04.50.16;05/01/2015 04.50.16
1234;303;f_1;05/01/2015 04.50.57;05/01/2015 04.50.57
1235;304;b_1;05/01/2015 04.48.31;05/01/2015 04.48.31
1236;304;d_1;05/01/2015 04.49.22;05/01/2015 04.49.22
1237;304;e_1;05/01/2015 04.50.32;05/01/2015 04.50.32
1238;304;g_1;05/01/2015 04.51.37;05/01/2015 04.51.37
1239;305;a_1;05/01/2015 04.48.07;05/01/2015 04.48.07
1240;305;c_1;05/01/2015 04.51.08;05/01/2015 04.51.08
1241;305;d_1;05/01/2015 04.51.14;05/01/2015 04.51.14
1242;305;f_1;05/01/2015 04.53.26;05/01/2015 04.53.26
1243;306;b_1;05/01/2015 04.51.07;05/01/2015 04.51.07
1244;306;e_1;05/01/2015 04.51.08;05/01/2015 04.51.08
1245;306;d_1;05/01/2015 04.51.42;05/01/2015 04.51.42
1246;306;g_1;05/01/2015 04.52.04;05/01/2015 04.52.04
1247;307;a_1;05/01/2015 04.50.13;05/01/2015 04.50.13
1248;307;d_1;05/01/2015 04.50.34;05/01/2015 04.50.34
1249;307;c_1;05/01/2015 04.51.18;05/01/2015 04.51.18
1250;307;f_1;05/01/2015 04.52.52;05/01/2015 04.52.52
1251;308;a_1;05/01/2015 04.53.33;05/01/2015 04.53.33
1252;308;d_1;05/01/2015 04.53.48;05/01/2015 04.53.48
1253;308;c_1;05/01/2015 04.53.51;05/01/2015 04.53.51
1254;308;f_1;05/01/2015 04.54.35;05/01/2015 04.54.35
1255;309;a_1;05/01/2015 04.54.42;05/01/2015 04.54.42
1256;309;c_1;05/01/2015 04.55.05;05/01/2015 04.55.05
1257;309;d_1;05/01/2015 04.56.30;05/01/2015 04.56.30
1258;309;f_1;05/01/2015 04.58.06;05/01/2015 04.58.06
1259;310;a_1;05/01/2015 04.54.32;05/01/2015 04.54.32
1260;310;c_1;05/01/2015 04.54.41;05/01/2015 04.54.41
1261;310;d_1;05/01/2015 04.54.50;05/01/2015 04.54.50
1262;310;f_1;05/01/2015 04.58.01;05/01/2015 04.58.01
1263;311;b_1;05/01/2015 04.54.47;05/01/2015 04.54.47
1264;311;d_1;05/01/2015 04.55.11;05/01/2015 04.55.11
1265;311;e_1;05/01/2015 04.56.42;05/01/2015 04.56.42
1266;311;g_1;05/01/2015 04.57.30;05/01/2015 04.57.30
1267;312;a_1;05/01/2015 04.54.57;05/01/2015 04.54.57
1268;312;d_1;05/01/2015 04.55.46;05/01/2015 04.55.46
1269;312;c_1;05/01/2015 04.56.12;05/01/2015 04.56.12
1270;312;f_1;05/01/2015 04.56.31;05/01/2015 04.56.31
1271;313;a_1;05/01/2015 04.56.45;05/01/2015 04.56.45
1272;313;d_1;05/01/2015 04.56.49;05/01/2015 04.56.49
1273;313;c_1;05/01/2015 04.58.03;05/01/2015 04.58.03
1274;313;f_1;05/01/2015 04.59.31;05/01/2015 04.59.31
1275;314;a_1;05/01/2015 04.58.14;05/01/2015 04.58.14
1276;314;d_1;05/01/2015 04.59.40;05/01/2015 04.59.40
1277;314;c_1;05/01/2015 04.59.44;05/01/2015 04.59.44
1278;314;f_1;05/01/2015 05.00.04;05/01/2015 05.00.04
1279;315;b_1;05/01/2015 04.58.33;05/01/2015 04.58.33
1280;315;e_1;05/01/2015 04.59.23;05/01/2015 04.59.23
1281;315;d_1;05/01/2015 04.59.35;05/01/2015 04.59.35
1282;315;x_1;05/01/2015 05.00.55;05/01/2015 05.00.55
1283;315;g_1;05/01/2015 05.01.01;05/01/2015 05.01.01
1284;316;b_1;05/01/2015 04.59.36;05/01/2015 04.59.36
1285;316;d_1;05/01/2015 05.00.21;05/01/2015 05.00.21
1286;316;e_1;05/01/2015 05.00.51;05/01/2015 05.00.51
1287;316;g_1;05/01/2015 05.02.54;05/01/2015 05.02.54
1288;317;a_1;05/01/2015 04.59.18;05/01/2015 04.59.18
1289;317;c_1;05/01/2015 05.00.11;05/01/2015 05.00.11
1290;317;d_1;05/01/2015 05.01.16;05/01/2015 05.01.16
1291;317;f_1;05/01/2015 05.01.18;05/01/2015 05.01.18
1292;318;b_1;05/01/2015 05.02.19;05/01/2015 05.02.19
1293;318;d_1;05/01/2015 05.02.41;05/01/2015 05.02.41
1294;318;e_1;05/01/2015 05.02.52;05/01/2015 05.02.52
1295;318;g_1;05/01/2015 05.04.34;05/01/2015 05.04.34
